,quantidade,latitude,longitude
Parada de Lucas,5,-22.818106,-43.303646
Anchieta,5,-22.820398000000004,-43.39837
Cocotá,5,-22.805664,-43.179526
Pavuna,5,-22.816343999999997,-43.368824000000004
Magalhães Bastos,5,-22.879048,-43.410824000000005
Pitangueiras,4,-22.8161525,-43.178830000000005
Cordovil,4,-22.8240725,-43.3059
Barros Filho,4,-22.837505,-43.3651775
Vila Kosmos,4,-22.8513175,-43.305152500000005
Complexo do Alemão,3,-22.861459999999997,-43.276446666666665
Inhoaíba,3,-22.899736666666666,-43.58927333333333
Água Santa,3,-22.907870000000003,-43.30661666666666
Coelho Neto,3,-22.826946666666668,-43.35227666666666
Bancários,3,-22.79675,-43.173696666666665
Vaz Lobo,3,-22.85869333333333,-43.32601666666667
Rocha Miranda,3,-22.850579999999997,-43.347946666666665
Ribeira,3,-22.82344,-43.17088999999999
Grumari,3,-23.047629999999998,-43.53801666666667
Galeão,3,-22.811179999999997,-43.22632333333333
Vila Militar,2,-22.88033,-43.40314
Caju,2,-22.888095,-43.22167
Manguinhos,2,-22.88306,-43.24566
Engenheiro Leal,2,-22.876125000000002,-43.32224
Colégio,2,-22.84006,-43.33081
Vista Alegre,2,-22.831744999999998,-43.31337
Deodoro,2,-22.848845,-43.381535
Vigário Geral,2,-22.8176,-43.311135
Cidade Universitária,1,-22.869770000000003,-43.217690000000005
Jardim América,1,-22.81087,-43.31732
Parque Colúmbia,1,-22.81446,-43.33546
Cavalcanti,1,-22.87639,-43.315290000000005
Maré,1,-22.86753,-43.23983
Gericinó,1,-22.82563,-43.46393
Honório Gurgel,1,-22.85298,-43.35386
Praia da Bandeira,1,-22.806720000000002,-43.177479999999996
Campo dos Afonsos,1,-22.88363,-43.37611
