id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,Entire home/apt,Hotel room,Private room,Shared room,neighbourhood_labels
10907648,498,7,0,0.0,0,1,1,0,0,0,3
10907683,553,1,0,0.0,0,1,0,0,1,0,9
10907861,498,3,1,0.02,0,1,1,0,0,0,5
10908276,277,2,29,0.56,0,1,1,0,0,0,6
10908534,151,3,0,0.0,365,6,0,0,1,0,8
10908545,100,2,2,0.04,0,6,0,0,1,0,8
10908640,149,2,2,0.04,0,2,0,0,1,0,9
10908881,232,3,13,0.29,179,11,1,0,0,0,9
10909248,254,3,24,0.47,60,1,1,0,0,0,9
10914154,282,1,0,0.0,365,1,0,0,1,0,3
10914493,49,2,1,0.07,145,1,0,0,1,0,3
10915805,137,3,0,0.0,365,4,0,0,1,0,6
10916486,110,3,0,0.0,365,4,0,0,1,0,6
10918130,183,2,6,0.11,16,2,0,0,1,0,3
10918150,243,3,0,0.0,0,2,0,0,1,0,3
10918827,138,2,86,1.88,223,1,1,0,0,0,3
10919861,149,10,2,0.04,87,2,1,0,0,0,3
10920494,199,3,60,1.15,327,1,1,0,0,0,3
10921325,221,4,4,0.09,0,1,1,0,0,0,3
10921965,299,2,0,0.0,0,1,1,0,0,0,3
10923045,498,5,0,0.0,0,1,1,0,0,0,8
10923411,148,2,1,0.02,144,1,0,0,1,0,3
10923658,77,4,1,0.13,277,3,0,0,1,0,9
10924183,1383,1,2,0.04,0,1,1,0,0,0,6
10924289,93,1,76,1.77,240,1,1,0,0,0,6
10925226,249,1,2,0.04,0,1,1,0,0,0,6
10925770,550,7,1,0.02,365,1,1,0,0,0,5
10926156,77,1,1,0.02,0,1,0,0,1,0,3
10927562,830,1,2,0.04,0,1,1,0,0,0,2
10927715,597,3,1,0.02,0,1,1,0,0,0,3
10928747,209,4,16,0.35,364,1,1,0,0,0,3
10929565,199,15,1,0.02,202,1,1,0,0,0,3
10929709,1012,5,9,0.2,0,1,1,0,0,0,3
10930018,181,2,3,0.11,364,4,1,0,0,0,3
10933772,133,7,6,0.21,364,1,1,0,0,0,3
10934451,553,3,1,0.02,0,1,1,0,0,0,6
10936995,1001,2,17,0.33,363,1,1,0,0,0,9
10938368,791,2,0,0.0,0,2,1,0,0,0,8
10938418,748,7,0,0.0,365,2,1,0,0,0,6
10940993,92,1,7,0.13,0,2,0,0,1,0,9
10945054,470,4,2,0.04,0,1,0,0,1,0,6
10945728,498,4,6,0.13,358,1,1,0,0,0,3
10946496,702,12,0,0.0,0,1,1,0,0,0,6
10946894,254,1,0,0.0,362,1,0,0,1,0,3
10947970,165,2,18,0.36,303,1,0,0,1,0,3
10954854,1051,3,2,0.04,0,1,1,0,0,0,3
10956029,799,5,0,0.0,0,1,1,0,0,0,3
10957313,830,10,0,0.0,0,1,1,0,0,0,3
10957691,553,2,0,0.0,0,1,1,0,0,0,8
10960108,1200,5,0,0.0,364,1,1,0,0,0,3
10962743,951,3,0,0.0,0,1,1,0,0,0,9
10963438,687,7,0,0.0,365,1,1,0,0,0,5
10964700,282,1,1,0.02,0,1,1,0,0,0,3
10966815,351,2,64,1.38,364,1,1,0,0,0,6
10967312,553,1,0,0.0,365,1,0,0,0,1,3
10968373,277,1,0,0.0,0,1,1,0,0,0,3
10968891,199,1,0,0.0,0,1,0,0,1,0,9
10969049,83,5,4,0.09,163,1,0,0,1,0,3
10969916,698,1,2,0.04,89,1,1,0,0,0,6
10970145,66,2,12,0.43,189,2,0,0,1,0,3
10970864,599,2,44,1.05,129,6,1,0,0,0,6
10974798,59,3,25,0.54,13,2,0,0,1,0,6
10975947,500,3,0,0.0,365,1,0,0,1,0,5
10976024,157,4,12,0.23,0,1,1,0,0,0,3
10976603,348,2,3,0.06,0,11,1,0,0,0,6
10976619,1265,3,0,0.0,365,1,1,0,0,0,6
10977597,1510,1,0,0.0,0,1,1,0,0,0,3
10977835,1001,1,0,0.0,0,1,1,0,0,0,3
10977866,481,1,0,0.0,0,1,1,0,0,0,3
10978044,901,3,1,0.02,0,1,1,0,0,0,6
10978636,249,15,0,0.0,365,1,1,0,0,0,3
10980165,664,1,0,0.0,0,1,1,0,0,0,6
10980220,1217,3,0,0.0,363,1,1,0,0,0,3
10980293,83,1,1,0.02,0,1,1,0,0,0,2
10982521,570,2,21,0.45,323,1,1,0,0,0,9
10982624,1127,4,5,0.18,365,1,1,0,0,0,6
10982864,346,2,2,0.04,180,3,1,0,0,0,6
10983411,999,30,0,0.0,0,2,1,0,0,0,5
10983734,431,2,0,0.0,0,2,1,0,0,0,9
10983906,302,2,46,0.92,173,6,1,0,0,0,5
10983914,71,1,74,1.45,365,2,0,0,1,0,3
10984001,1499,1,0,0.0,0,2,1,0,0,0,3
10984064,698,7,0,0.0,365,1,1,0,0,0,6
10984513,271,5,0,0.0,343,7,0,0,1,0,3
10984938,1248,7,0,0.0,365,1,1,0,0,0,6
10985535,299,3,7,0.15,363,2,1,0,0,0,3
10985585,100,1,0,0.0,0,1,0,0,1,0,3
10986206,61,7,11,0.22,0,4,0,0,1,0,3
10986866,379,2,4,0.18,178,3,1,0,0,0,5
10986978,597,1,0,0.0,0,1,1,0,0,0,3
10988191,799,8,0,0.0,0,2,1,0,0,0,6
10988350,1659,20,1,0.02,365,1,1,0,0,0,9
10988575,393,5,0,0.0,0,1,1,0,0,0,5
10989062,1200,3,10,0.22,362,1,1,0,0,0,3
10989365,232,3,2,0.25,1,1,1,0,0,0,6
10989512,302,2,32,0.72,128,6,1,0,0,0,6
10989830,1350,1,0,0.0,0,2,1,0,0,0,0
10989923,398,3,59,1.14,349,3,1,0,0,0,9
10990927,540,2,0,0.0,365,1,0,0,1,0,5
10991004,995,1,2,0.04,0,1,1,0,0,0,6
10991359,100,2,28,0.54,0,4,0,0,1,0,9
10991484,77,1,85,1.75,365,2,0,0,1,0,9
10992697,121,2,4,0.08,127,1,1,0,0,0,3
10992711,100,1,0,0.0,0,1,0,0,1,0,8
10995219,171,1,80,1.68,358,1,1,0,0,0,3
10995403,901,3,2,0.04,0,1,1,0,0,0,6
10995473,404,1,3,0.08,363,1,1,0,0,0,3
10995702,302,7,1,0.02,364,1,0,0,1,0,6
11001037,265,5,2,0.04,2,7,0,0,1,0,3
11001331,271,5,2,0.07,365,7,0,0,1,0,3
11002282,1200,20,0,0.0,0,1,1,0,0,0,3
11003440,597,1,2,0.04,0,1,1,0,0,0,9
11003654,216,1,0,0.0,0,1,1,0,0,0,3
11003843,550,4,7,0.15,365,2,1,0,0,0,6
11003995,100,1,0,0.0,0,1,0,0,1,0,3
11004497,188,3,0,0.0,0,1,0,0,1,0,3
11006250,1375,3,0,0.0,90,1,1,0,0,0,6
11006835,103,1,55,1.05,0,1,1,0,0,0,3
11006857,154,2,0,0.0,90,5,1,0,0,0,6
11007526,177,4,46,0.89,208,5,1,0,0,0,3
11009001,155,2,0,0.0,0,1,0,0,1,0,3
11009453,907,3,4,0.09,0,1,1,0,0,0,3
11012312,171,3,88,1.69,0,1,1,0,0,0,3
11012523,122,2,0,0.0,0,2,0,0,1,0,8
11012679,304,1,3,0.06,0,1,0,0,1,0,3
11014855,83,1,0,0.0,0,1,0,0,1,0,3
11015411,249,1,1,0.02,0,1,0,0,1,0,3
11015700,82,1,93,1.77,89,1,0,0,1,0,3
11015823,66,14,3,0.49,160,3,1,0,0,0,3
11017575,249,1,41,0.78,144,3,0,0,1,0,9
11017802,415,7,1,0.02,0,1,1,0,0,0,6
11018484,885,20,1,0.02,0,1,1,0,0,0,6
11018889,83,1,9,0.19,364,2,0,0,1,0,3
11019374,100,3,34,0.65,179,1,1,0,0,0,3
11020084,55,1,16,0.31,365,3,0,0,0,1,3
11020597,88,3,0,0.0,365,3,1,0,0,0,3
11021362,1217,4,18,0.36,89,1,1,0,0,0,9
11021370,359,3,1,0.07,113,3,1,0,0,0,9
11021520,100,2,7,0.9,12,1,1,0,0,0,3
11021702,498,1,0,0.0,0,1,0,0,1,0,9
11023104,160,5,0,0.0,0,2,1,0,0,0,8
11027721,1375,1,0,0.0,365,1,1,0,0,0,6
11028481,337,3,48,1.02,99,1,1,0,0,0,9
11028847,995,1,0,0.0,0,1,1,0,0,0,6
11029178,741,5,0,0.0,0,1,1,0,0,0,6
11029889,1620,1,0,0.0,365,1,1,0,0,0,5
11029949,1289,1,0,0.0,0,1,1,0,0,0,3
11030229,348,2,0,0.0,0,1,1,0,0,0,6
11030350,199,1,0,0.0,0,1,0,0,1,0,8
11030493,802,10,0,0.0,365,1,1,0,0,0,3
11031313,249,1,0,0.0,0,1,1,0,0,0,3
11031580,522,1,7,0.14,365,1,0,0,0,1,6
